artifact_index,artifact,artifact_id,admission_state,reason,candidate_rows,win_cells,loss_cells,tie_cells,team_points_cells,playoff_cells,receipt_run_id,source_run_id
49,research-mfl-classification-roster-bridge-shard-150-31663728938,9168729670,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1020,1020,1020,1020,1020,1020,31682677203,31663728938
50,research-mfl-classification-roster-bridge-shard-151-31663728938,9168706445,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,994,994,994,994,994,994,31682677203,31663728938
51,research-mfl-classification-roster-bridge-shard-152-31663728938,9168728452,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,2148,2148,2148,2148,2148,2148,31682677203,31663728938
52,research-mfl-classification-roster-bridge-shard-153-31663728938,9168717606,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,442,442,442,442,442,442,31682677203,31663728938
53,research-mfl-classification-roster-bridge-shard-154-31663728938,9168729551,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,468,468,468,468,468,468,31682677203,31663728938
54,research-mfl-classification-roster-bridge-shard-155-31663728938,9168774109,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1881,1881,1881,1881,1881,1881,31682677203,31663728938
,research-mfl-classification-roster-bridge-shard-156-31663728938,,explicitly_excluded_no_candidate,cancelled before recovery output,0,0,0,0,0,0,31682677203,31663728938
55,research-mfl-classification-roster-bridge-shard-157-31663728938,9168755472,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1243,1243,1243,1243,1243,1243,31682677203,31663728938
56,research-mfl-classification-roster-bridge-shard-158-31663728938,9168760475,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,488,488,488,488,488,488,31682677203,31663728938
57,research-mfl-classification-roster-bridge-shard-159-31663728938,9168800865,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1295,1295,1295,1295,1295,1295,31682677203,31663728938
58,research-mfl-classification-roster-bridge-shard-160-31663728938,9168784469,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,625,625,625,625,625,625,31682677203,31663728938
59,research-mfl-classification-roster-bridge-shard-161-31663728938,9168823340,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1526,1526,1526,1526,1526,1526,31682677203,31663728938
60,research-mfl-classification-roster-bridge-shard-162-31663728938,9168832477,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,472,472,472,472,472,472,31682677203,31663728938
61,research-mfl-classification-roster-bridge-shard-163-31663728938,9168880267,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,888,888,888,888,888,888,31682677203,31663728938
62,research-mfl-classification-roster-bridge-shard-164-31663728938,9168926996,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1701,1701,1701,1701,1701,1701,31682677203,31663728938
63,research-mfl-classification-roster-bridge-shard-165-31663728938,9168921306,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,695,695,695,695,695,695,31682677203,31663728938
64,research-mfl-classification-roster-bridge-shard-166-31663728938,9168944882,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,872,872,872,872,872,872,31682677203,31663728938
65,research-mfl-classification-roster-bridge-shard-167-31663728938,9168984613,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1250,1250,1250,1250,1250,1250,31682677203,31663728938
66,research-mfl-classification-roster-bridge-shard-168-31663728938,9168998828,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,427,427,427,427,427,427,31682677203,31663728938
67,research-mfl-classification-roster-bridge-shard-169-31663728938,9169015784,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1061,1061,1061,1061,1061,1061,31682677203,31663728938
68,research-mfl-classification-roster-bridge-shard-170-31663728938,9169039981,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1058,1058,1058,1058,1058,1058,31682677203,31663728938
69,research-mfl-classification-roster-bridge-shard-171-31663728938,9169057020,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,585,585,585,585,585,585,31682677203,31663728938
70,research-mfl-classification-roster-bridge-shard-172-31663728938,9169073323,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,928,928,928,928,928,928,31682677203,31663728938
71,research-mfl-classification-roster-bridge-shard-173-31663728938,9169074176,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1386,1386,1386,1386,1386,1386,31682677203,31663728938
72,research-mfl-classification-roster-bridge-shard-174-31663728938,9169092432,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1585,1585,1585,1585,1585,1585,31682677203,31663728938
73,research-mfl-classification-roster-bridge-shard-175-31663728938,9169105602,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,236,236,236,236,236,236,31682677203,31663728938
74,research-mfl-classification-roster-bridge-shard-176-31663728938,9169133289,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,967,967,967,967,967,967,31682677203,31663728938
75,research-mfl-classification-roster-bridge-shard-177-31663728938,9169147992,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,463,463,463,463,463,463,31682677203,31663728938
76,research-mfl-classification-roster-bridge-shard-178-31663728938,9169138434,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,2376,2344,2344,2376,2344,2376,31682677203,31663728938
77,research-mfl-classification-roster-bridge-shard-179-31663728938,9169142884,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,2179,2179,2179,2179,2179,2179,31682677203,31663728938
78,research-mfl-classification-roster-bridge-shard-180-31663728938,9169142521,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1632,1632,1632,1632,1632,1632,31682677203,31663728938
79,research-mfl-classification-roster-bridge-shard-181-31663728938,9169183638,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,143,143,143,143,143,143,31682677203,31663728938
80,research-mfl-classification-roster-bridge-shard-182-31663728938,9169202013,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,805,805,805,805,805,805,31682677203,31663728938
81,research-mfl-classification-roster-bridge-shard-183-31663728938,9169193035,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1037,1037,1037,1037,1037,1037,31682677203,31663728938
82,research-mfl-classification-roster-bridge-shard-184-31663728938,9169203030,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1020,1007,1007,1007,1020,1007,31682677203,31663728938
83,research-mfl-classification-roster-bridge-shard-185-31663728938,9169208154,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,872,872,872,872,872,872,31682677203,31663728938
84,research-mfl-classification-roster-bridge-shard-186-31663728938,9169232740,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,571,571,571,571,571,571,31682677203,31663728938
85,research-mfl-classification-roster-bridge-shard-187-31663728938,9169257900,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1132,1132,1132,1132,1132,1132,31682677203,31663728938
86,research-mfl-classification-roster-bridge-shard-188-31663728938,9169275363,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,2046,2046,2046,2046,2046,2046,31682677203,31663728938
87,research-mfl-classification-roster-bridge-shard-189-31663728938,9169297975,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1962,1962,1962,1962,1962,1962,31682677203,31663728938
88,research-mfl-classification-roster-bridge-shard-19-31663728938,9167251424,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1075,1075,1075,1075,1075,1075,31682677203,31663728938
,research-mfl-classification-roster-bridge-shard-190-31663728938,,explicitly_excluded_no_candidate,cache restore failure before recovery,0,0,0,0,0,0,31682677203,31663728938
,research-mfl-classification-roster-bridge-shard-191-31663728938,,explicitly_excluded_no_candidate,cache restore failure before recovery,0,0,0,0,0,0,31682677203,31663728938
,research-mfl-classification-roster-bridge-shard-192-31663728938,,explicitly_excluded_no_candidate,cache restore failure before recovery,0,0,0,0,0,0,31682677203,31663728938
,research-mfl-classification-roster-bridge-shard-193-31663728938,,explicitly_excluded_no_candidate,cache restore failure before recovery,0,0,0,0,0,0,31682677203,31663728938
